epoch,step,train_acc,train_loss,val_acc,val_loss
0,23,,,0.21142856776714325,2.100253105163574
0,23,0.177734375,,,
1,47,,,0.3085714280605316,2.129676103591919
1,47,0.291015625,,,
2,49,,2.168933391571045,,
2,71,,,0.38285714387893677,1.6855871677398682
2,71,0.3248697817325592,,,
3,95,,,0.38285714387893677,1.5703246593475342
3,95,0.3860677182674408,,,
4,99,,1.4503847360610962,,
4,119,,,0.4114285707473755,1.542203426361084
4,119,0.3938802182674408,,,
